@relation 'Wholesale customers data-weka.filters.unsupervised.attribute.Remove-V-R7,5,4,2,8,3,6,1'

@attribute Detergents_Paper numeric
@attribute Grocery numeric
@attribute Milk numeric
@attribute Region numeric
@attribute Delicassen numeric
@attribute Fresh numeric
@attribute Frozen numeric
@attribute Channel numeric

@data
5121,10868,6152,3,1476,11519,584,2
13583,28921,21412,3,1163,4967,1798,2
609,1980,1095,3,2162,6269,3860,1
1538,6996,4051,3,301,3347,239,1
2587,5876,3916,3,1278,40721,532,2
5611,11532,10473,3,224,491,744,2
204,1947,1449,3,1333,27329,2436,1
2024,5005,3683,3,1130,5264,1057,1
17740,26866,29892,3,1340,4098,2616,2
7572,10487,9933,3,1282,5417,38,2
227,1648,1970,3,436,13779,596,1
3084,8040,5360,3,1603,6137,129,1
4095,7854,3045,3,225,8590,96,2
26701,59598,38369,3,2017,35942,3254,2
4074,6544,6245,3,964,7823,4154,2
7677,15775,11601,3,1295,9396,2896,2
1247,3250,1227,3,1145,4760,3724,1
24231,45828,20959,3,1423,85,36,2
3468,7417,1534,3,27,9,175,1
5141,13462,6759,3,834,19913,1256,2
788,3993,7260,3,3095,2446,5870,1
656,1293,2820,3,144,8352,779,1
116,3202,2037,3,1365,16705,10643,1
4173,21042,1266,3,14472,18291,5373,1
1321,2661,5139,3,181,4420,8872,1
764,8713,5332,3,648,19899,8132,2
1901,9794,6343,3,1780,8190,1285,2
3,3,1137,3,975,20398,4407,1
529,6532,3587,3,894,717,7530,1
12034,28540,12697,3,1009,12205,869,2
301,2067,1175,3,167,10766,2096,1
1202,3655,3259,3,1653,1640,868,1
610,3009,829,3,529,7005,430,1
7818,14403,9540,3,156,219,283,2
3537,11009,9232,3,2342,10362,737,2
550,1783,1563,3,772,20874,2320,1
3837,4814,3327,3,120,11867,1178,2
40827,92780,46197,3,2944,16117,1026,2
20070,32114,73498,3,903,22925,987,2
1579,8117,5025,3,14351,43265,6312,1
165,4042,542,3,46,7864,9735,1
454,5330,3836,3,3178,24904,3443,1
69,1638,596,3,360,11405,3347,1
627,2530,2762,3,1117,12754,8693,1
18906,32034,27472,3,5130,9198,3232,2
71,2062,3090,3,2698,11314,35009,1
5038,11323,12220,3,244,5626,206,2
223,6252,2920,3,709,3,440,1
3874,8118,2616,3,217,23,145,2
54,610,254,3,63,403,774,1
56,778,112,3,132,503,895,1
215,1909,2182,3,323,9658,5639,1
8035,12144,7779,3,3029,11594,3252,2
6766,16267,10810,3,1838,1420,1593,2
4573,7677,6459,3,1386,2932,2561,2
1480,8906,3504,3,2498,56082,18028,1
1491,3445,2132,3,548,14100,1336,1
139,3970,1014,3,1378,15587,910,1
6830,10704,6337,3,1831,1454,133,2
8969,14886,10646,3,1438,8797,2471,2
2505,6981,8397,3,1236,1531,247,2
836,28986,16729,3,3,1406,673,2
169,1694,1648,3,1647,11818,2276,1
6457,17569,11114,3,1519,12579,805,2
483,2469,2770,3,2708,19046,8853,1
585,1733,2295,3,1561,14438,3220,1
118,2000,1080,3,1266,18044,2555,1
276,2988,793,3,610,11134,2715,1
310,3355,2521,3,222,11173,1517,1
319,5380,3880,3,1160,6990,1647,1
411,2362,1891,3,933,20049,5343,1
266,2147,2344,3,635,8258,3896,1
174,3412,1200,3,1136,17160,2417,1
264,1498,3234,3,255,4020,2395,1
25,245,201,3,860,12212,1991,1
1976,8814,10769,3,143,11170,2194,2
500,2961,1642,3,1621,36050,4787,1
778,7102,3473,3,918,76237,16538,1
349,1658,1840,3,483,19219,8195,1
2386,10685,7243,3,2749,21465,880,2
1062,3823,8847,3,3,140,142,1
410,1510,926,3,1819,42312,1718,1
395,699,2428,3,911,7149,6316,1
70,314,589,3,310,2101,346,1
955,2479,2032,3,328,14903,576,1
256,1235,1042,3,396,9434,436,1
47,2174,1882,3,537,7388,720,1
199,2591,1289,3,326,6300,1170,1
2447,7030,8579,3,1542,4625,4575,1
721,8282,8080,3,36,3087,661,1
249,5034,4257,3,3271,13537,155,1
637,3343,4979,3,929,5387,825,1
960,7305,4280,3,2616,17623,2279,1
51,5189,13252,3,1450,30379,321,1
20,8253,7152,3,3,37036,2995,1
399,1096,1596,3,318,10405,8425,1
516,1988,3677,3,201,18827,118,1
12591,34792,8384,3,4430,22039,42,2
73,2177,1936,3,520,7769,926,1
1082,2707,3373,3,526,9203,1286,1
283,542,584,3,434,5924,4052,1
113,1651,1433,3,1440,31812,800,1
170,1765,1825,3,1067,16225,853,1
255,2022,3328,3,1774,1289,531,1
352,3135,1371,3,184,18840,3001,1
302,2368,9250,3,1627,3463,779,1
7,137,55,3,8,622,75,1
11577,19460,10690,3,2153,1989,233,2
6694,14855,5291,3,3182,3830,317,2
811,2474,1366,3,418,17773,3378,1
4004,9618,6570,3,1682,2861,930,2
8077,14682,7704,3,303,355,398,2
4424,12822,3651,3,2157,1725,824,2
3,283,540,3,2233,12434,1092,1
232,3810,2024,3,610,15177,2665,1
13726,26870,15726,3,446,5531,2367,2
3674,8584,7603,3,238,5224,2540,2
7108,19858,12653,3,2379,15615,4425,2
4973,9170,6721,3,3637,4822,993,2
1680,3268,3195,3,693,2926,405,1
79,803,735,3,429,5809,1393,1
69,2155,717,3,750,5414,2399,1
7015,13430,8675,3,323,260,1116,2
8773,19816,25862,3,6250,200,651,2
2840,6536,5479,3,707,955,333,1
9836,19805,7677,3,716,514,937,2
153,5241,1208,3,1442,286,2515,1
4196,11874,7845,3,1697,2343,52,2
1532,6536,6958,3,230,45640,7368,1
20,4533,7330,3,2631,12759,1752,1
120,4945,7075,3,395,11002,1152,1
273,2500,4888,3,2165,3157,4477,1
1382,8887,6036,3,2794,12356,402,1
4948,18148,29627,3,8550,112151,16745,1
6907,10518,8533,3,156,694,443,1
239,20170,43950,3,47943,36847,36534,1
334,4710,918,3,11,327,74,1
58,1139,6448,3,247,8170,2181,1
949,854,521,3,727,3009,3470,1
3459,9819,8002,3,3,2438,6269,1
6839,11687,7639,3,404,8040,2758,2
4027,11522,11577,3,1856,834,275,2
118,1981,6250,3,64,16936,7332,1
43,1381,295,3,84,13624,890,1
187,2251,1461,3,409,5509,547,1
5618,20292,3485,3,666,180,959,2
355,2974,1012,3,1142,7107,806,1
330,5230,5139,3,1755,17023,7888,1
763,4897,7209,1,2876,30624,18711,1
4314,10391,7097,1,1468,2427,1127,2
592,6824,2154,1,697,11686,3527,1
402,2112,2280,1,347,9670,520,1
9959,23127,13240,1,731,3067,3941,2
14235,24708,14399,1,1681,4484,3549,2
284,9490,11487,1,6854,25203,5065,1
954,2216,685,1,18,583,469,1
5,5226,891,1,1328,1956,1383,1
9265,23596,11711,1,710,1107,955,2
288,950,780,1,285,6373,878,1
5316,6089,4737,1,120,2541,2946,2
3381,5838,3748,1,806,1537,1859,1
12420,16767,12729,1,797,5550,864,2
244,1393,1895,1,2100,18567,1801,1
19410,39694,28326,1,2870,12119,4736,2
240,2062,1012,1,1775,7291,1291,1
3961,6861,6602,1,1215,3317,1329,1
5957,11364,6551,1,791,2362,913,2
5828,15538,10765,1,2388,2806,1374,1
13308,36486,16599,1,674,2532,179,2
130,2046,1475,1,1158,18044,2532,1
4797,15205,7504,1,6372,18,1285,2
86,1390,367,1,130,4155,2306,1
56,1382,899,1,749,14755,1765,1
4167,10646,7503,1,239,5396,91,1
256,2856,1115,1,375,5041,7496,1
788,5265,2527,1,1360,2790,5612,2
70,1499,659,1,659,7274,784,1
761,4157,3243,1,786,12680,660,1
2568,9212,5921,1,1553,20782,1759,2
263,1563,2204,1,689,4042,2286,1
4762,572,577,1,203,1869,950,1
694,2501,2746,1,980,8656,6845,1
955,5615,5989,1,2137,11072,8321,2
1566,3828,10678,1,490,2344,1439,1
284,3838,1780,1,834,25962,638,1
409,3316,4984,1,7,964,937,1
325,3833,2703,1,2563,15603,4260,1
1216,2824,6380,1,295,1838,1218,1
415,3047,820,1,225,8635,2312,1
28,593,3838,1,1215,18692,4634,1
72,585,475,1,216,7363,1112,1
828,3779,2567,1,2253,47493,5243,1
343,7041,3575,1,2564,22096,11422,1
412,2475,1801,1,1047,24929,2216,1
586,2914,659,1,578,18226,3752,1
1682,5119,3576,1,2398,11210,561,1
3143,10817,7775,1,1970,6202,1183,1
8933,13916,6154,1,2784,3062,230,2
430,1777,2428,1,610,8885,1777,1
44,489,346,1,659,13569,2077,1
562,2406,5279,1,572,15671,559,1
918,2070,3795,1,291,8040,6340,1
234,1799,1993,1,710,3191,1730,1
18594,33586,23133,1,5121,6134,6746,2
205,4740,1860,1,1693,6623,7683,1
363,16966,7961,1,1391,29526,432,1
1547,4748,17972,1,3265,10379,4686,1
111,1495,489,1,615,31614,3242,1
392,5249,5008,1,373,11092,453,1
3593,1883,1931,1,987,8475,5004,1
730,2124,4563,1,3321,56083,6422,1
967,7336,4959,1,818,53205,3012,1
780,2157,4885,1,548,9193,327,1
49,1094,1110,1,287,7858,6818,1
429,1677,1372,1,655,23257,982,1
2894,6684,1115,1,411,2153,4324,1
5980,15445,9679,1,1265,1073,61,2
830,13699,23527,1,3636,5909,10155,1
4882,22182,9763,1,2563,572,2221,2
737,2576,1222,1,3628,20893,3975,1
6374,19847,8053,1,698,11908,1069,2
333,1138,258,1,204,15218,2516,1
197,975,1032,1,56,4720,5500,1
147,1563,5007,1,1550,2083,1120,1
93,6869,8323,1,1040,514,529,1
210,1493,3045,3,1824,36817,4802,1
759,1841,1703,3,1153,894,744,1
96,223,1610,3,379,680,862,1
603,6964,3749,3,2503,27901,4479,1
621,683,829,3,139,9061,16919,1
274,2543,2317,3,1409,11693,5845,1
3620,9694,6200,3,1721,17360,1293,2
167,2431,2884,3,1104,3366,977,1
2328,6235,7108,3,2079,12238,1093,2
1041,4252,3965,3,1404,49063,5970,1
314,2013,3613,3,1384,25767,10303,1
751,12609,4411,3,2406,68951,8692,1
436,3600,640,3,18,40254,1042,1
1226,1242,2247,3,128,7149,1619,1
386,2828,2102,3,1027,15354,8366,1
445,1296,594,3,258,16260,848,1
32,471,286,3,22,42786,1388,1
965,2642,2160,3,1522,2708,502,1
212,3261,3354,3,686,6022,2507,1
825,4329,3086,3,1060,2838,3838,1
5952,12469,11103,2,741,3996,902,2
811,6550,2013,2,1854,21273,909,1
2208,5234,1897,2,254,7588,417,2
710,3643,1304,2,898,19087,3045,1
3712,6986,3199,2,531,8090,1455,2
4538,9965,4560,2,1037,6758,934,2
290,2060,879,2,259,444,264,1
2662,6360,6243,2,2005,16448,824,2
8752,20399,13316,2,172,5283,1809,2
6236,9785,5302,2,555,2886,364,2
10069,13829,3688,2,59,2599,492,2
11783,24773,7460,2,2410,161,617,2
3909,8852,12939,2,211,243,799,2
7558,21570,12867,2,1543,6468,1840,2
351,2842,2374,2,925,17327,1149,1
257,3007,1020,2,656,6987,416,1
6846,13567,20655,2,806,918,1465,2
299,2405,1492,2,1117,7034,12569,1
371,8280,2335,2,117,29635,3046,1
17120,19172,3737,2,142,2137,1274,2
183,2405,925,2,297,9784,4447,1
857,7647,1795,2,1233,10617,1483,1
3891,11924,14982,2,3508,1479,662,2
83,2201,1375,2,1059,7127,2679,1
821,6114,3088,2,1637,1182,978,1
706,3558,2713,2,51,11800,2121,1
12408,17645,25071,2,1625,9759,1128,2
275,2280,3696,2,834,1774,514,1
228,5167,1897,2,1113,9155,2714,1
1470,3315,713,2,229,15881,3703,1
1679,11593,944,2,573,13360,915,1
140,2464,3587,2,1092,25977,2369,1
1272,13626,16784,2,5609,32717,60869,1
387,1431,1610,2,834,4414,3498,1
88,1664,899,2,522,542,414,1
210,3389,2209,2,1534,16933,7849,1
492,4583,1486,2,739,5113,5127,1
182,5109,1786,2,1043,9790,3570,1
9606,26839,14881,2,1102,11223,1234,2
178,1447,3216,2,2602,22321,2208,1
38102,67298,4980,2,1215,8565,131,2
332,2743,928,2,3486,16823,11559,2
4111,10790,6817,2,2139,27082,1365,2
146,1330,1511,2,778,13970,650,1
442,2611,1347,2,868,9351,8170,1
15,7021,333,2,550,3,15601,1
573,5332,1188,2,1942,2617,9584,1
7271,9670,4025,3,1371,381,388,2
5162,11238,5763,3,2158,2320,767,2
4595,5923,5758,3,1328,255,349,1
15469,26316,6964,3,37,1689,1456,2
217,1763,1172,3,379,3043,2234,1
3843,8335,2602,3,303,1198,402,1
6600,15541,6939,3,1115,2771,2693,2
4621,12311,7184,3,1022,27380,2809,2
1184,2028,2380,3,665,3428,1341,1
12218,20521,14641,3,445,5981,2005,2
173,1997,1099,3,995,3521,1796,1
12638,22294,10044,3,3137,1210,1741,2
90,1533,1106,3,195,608,830,1
8682,21203,6264,3,1111,117,228,2
1333,2548,7393,3,2341,14039,6386,1
184,2012,727,3,127,190,245,1
9,218,134,3,548,22686,3157,1
6747,22272,1275,3,110,37,137,2
536,1660,18664,3,4100,759,6114,1
232,2109,5878,3,776,796,340,1
468,2006,2872,3,503,19746,2601,1
159,864,607,3,405,4734,1206,1
179,2453,1601,3,712,2121,560,1
1335,4438,997,3,314,4627,191,1
514,1524,873,3,468,2615,1103,1
4515,8025,6128,3,3105,4692,1619,2
222,1664,2217,3,447,9561,1173,1
252,534,894,3,342,3477,1457,1
101,2406,1196,3,558,22335,2046,1
41,683,337,3,296,6211,1089,1
523,4955,3944,3,2235,39679,1364,2
716,1939,1887,3,790,20105,8164,1
397,1641,3801,3,4829,3884,876,1
1916,7398,6257,3,3113,15076,1504,2
311,1668,2256,3,686,6338,1492,1
476,1162,1450,3,70,5841,597,1
4666,13586,8630,3,1426,3136,5641,2
96,2648,3154,3,1242,38793,1034,1
68,1902,3294,3,1114,3225,282,1
813,10391,5164,3,179,4048,130,2
600,2146,944,3,270,28257,3881,1
246,1617,4591,3,532,17770,9927,1
1711,8469,7435,3,2893,34454,2540,1
397,3450,1364,3,361,1821,4006,1
282,15400,21858,3,5120,10683,3635,1
192,1614,922,3,1068,11635,2583,1
353,2857,3620,3,967,1206,1945,1
231,1573,1916,3,961,20918,1960,1
200,1172,848,3,406,9785,1677,1
227,1422,1530,3,684,9385,3019,1
311,1328,1181,3,1000,3352,5502,1
95,2313,2761,3,1827,2647,907,1
122,3600,4180,3,654,518,659,1
385,3842,6730,3,819,23632,8620,1
149,3204,865,3,452,12377,1398,1
841,1263,1316,3,290,9602,2921,1
3378,9345,11991,3,2213,4515,2644,2
64,1428,1666,3,743,11535,6838,1
74,582,1032,3,247,11442,5390,1
469,935,577,3,375,9612,1601,1
153,1238,906,3,1014,4446,3576,1
92,2128,2801,3,1902,27167,13223,1
10,5091,4753,3,340,26539,220,1
632,4604,11006,3,288,25606,127,1
914,3444,4613,3,715,18073,4324,1
593,1167,1046,3,378,6884,2069,1
1092,5026,5010,3,960,25066,9806,1
7883,18683,12844,3,553,7362,2854,2
2730,6407,3880,3,344,8257,1646,2
2123,6100,3634,3,5137,8708,2349,1
1860,4563,2096,3,1892,6633,1389,1
235,3281,3289,3,4365,2126,1535,1
2970,12400,3605,3,62,97,98,1
912,6633,4859,3,2435,4983,17866,1
1135,3417,1990,3,290,5969,5679,1
3540,8552,6046,3,1874,7842,1691,2
6728,10908,10940,3,993,4389,848,2
3485,11055,5499,3,1063,5065,364,1
6740,18622,8494,3,776,660,133,2
1580,2223,3783,3,1521,8861,633,1
6818,13227,5266,3,1393,4456,25,1
3415,9053,4847,3,1784,17063,1031,2
948,4172,1377,3,1218,26400,830,1
1803,4657,3686,3,668,17565,1059,2
3213,12232,2884,3,249,16980,874,2
108,2593,2408,3,1886,11243,15348,1
5079,14316,9347,3,1894,13134,3141,1
439,5429,16687,3,1163,31012,15082,1
850,4910,5970,3,317,3047,2198,1
84,3580,1750,3,2501,8607,47,1
241,16483,4230,3,2080,3097,575,1
1377,5160,5506,3,1498,8533,13486,1
1328,4754,1162,3,395,21117,269,1
356,1493,3218,3,1449,1982,1541,1
2371,7994,3922,3,838,16731,688,1
182,16027,12051,3,2204,29703,13135,1
93,764,1431,3,2346,39228,4510,1
14841,30243,15488,3,1867,14531,437,2
168,2232,1981,3,2125,10290,1038,1
477,2510,1698,3,52,2787,65,1
