Region,Milk,Frozen,Delicassen,Channel
3,3944,1364,2235,2
3,1887,8164,790,1
3,3801,876,4829,1
3,6257,1504,3113,2
3,2256,1492,686,1
3,1450,597,70,1
3,8630,5641,1426,2
3,3154,1034,1242,1
3,3294,282,1114,1
3,5164,130,179,2
3,944,3881,270,1
3,4591,9927,532,1
3,7435,2540,2893,1
3,1364,4006,361,1
3,21858,3635,5120,1
3,922,2583,1068,1
3,3620,1945,967,1
3,1916,1960,961,1
3,848,1677,406,1
3,1530,3019,684,1
3,1181,5502,1000,1
3,2761,907,1827,1
3,4180,659,654,1
3,6730,8620,819,1
3,865,1398,452,1
3,1316,2921,290,1
3,11991,2644,2213,2
3,1666,6838,743,1
3,1032,5390,247,1
3,577,1601,375,1
3,906,3576,1014,1
3,2801,13223,1902,1
3,4753,220,340,1
3,11006,127,288,1
3,4613,4324,715,1
3,1046,2069,378,1
3,5010,9806,960,1
3,12844,2854,553,2
3,3880,1646,344,2
3,3634,2349,5137,1
3,2096,1389,1892,1
3,3289,1535,4365,1
3,3605,98,62,1
3,4859,17866,2435,1
3,1990,5679,290,1
3,6046,1691,1874,2
3,10940,848,993,2
3,5499,364,1063,1
3,8494,133,776,2
3,3783,633,1521,1
3,5266,25,1393,1
3,4847,1031,1784,2
3,1377,830,1218,1
3,3686,1059,668,2
3,2884,874,249,2
3,2408,15348,1886,1
3,9347,3141,1894,1
3,16687,15082,1163,1
3,5970,2198,317,1
3,1750,47,2501,1
3,4230,575,2080,1
3,5506,13486,1498,1
3,1162,269,395,1
3,3218,1541,1449,1
3,3922,688,838,1
3,12051,13135,2204,1
3,1431,4510,2346,1
3,15488,437,1867,2
3,1981,1038,2125,1
3,1698,65,52,1
