martial,housing,loan,duration,poutcome,y
single,no,no,46,unknown,no
single,yes,yes,374,unknown,no
married,yes,no,349,unknown,no
married,yes,no,325,unknown,no
married,yes,no,233,unknown,no
divorced,yes,no,531,unknown,no
single,yes,no,153,unknown,no
married,no,no,80,unknown,no
single,yes,no,232,unknown,no
married,yes,no,118,unknown,no
married,yes,no,190,unknown,no
divorced,yes,no,918,unknown,yes
married,yes,yes,238,unknown,no
divorced,yes,no,82,unknown,no
married,yes,yes,198,unknown,no
married,no,yes,160,unknown,no
married,yes,no,211,unknown,no
married,yes,yes,120,unknown,no
single,yes,no,136,unknown,no
single,yes,no,269,unknown,no
married,no,no,157,unknown,no
married,yes,no,128,unknown,no
single,yes,no,211,unknown,no
married,yes,no,267,unknown,no
married,yes,no,371,unknown,no
married,yes,no,288,unknown,no
married,yes,no,221,unknown,no
divorced,yes,no,427,unknown,no
divorced,yes,yes,310,unknown,no
married,no,no,158,unknown,no
married,yes,no,604,unknown,no
single,yes,no,198,unknown,no
single,yes,no,145,unknown,no
married,yes,no,247,unknown,no
divorced,yes,no,179,unknown,no
married,yes,no,73,unknown,no
married,yes,no,263,unknown,no
married,yes,no,13,unknown,no
married,yes,no,79,unknown,no
married,yes,no,416,unknown,no
divorced,yes,no,162,unknown,no
married,yes,no,129,unknown,no
single,yes,no,150,unknown,no
single,yes,no,43,unknown,no
married,yes,no,191,unknown,no
divorced,yes,no,26,unknown,no
married,yes,no,250,unknown,no
married,yes,no,146,unknown,no
married,yes,no,416,unknown,no
divorced,yes,yes,121,unknown,no
married,yes,no,114,unknown,no
single,yes,no,289,unknown,no
married,yes,no,225,unknown,no
married,yes,no,123,unknown,no
married,yes,no,130,unknown,no
divorced,yes,no,161,unknown,no
divorced,yes,no,149,unknown,no
divorced,yes,no,268,unknown,no
married,yes,no,259,unknown,no
married,no,no,26,unknown,no
divorced,yes,no,153,unknown,no
married,yes,no,424,unknown,no
married,yes,no,179,unknown,no
divorced,yes,yes,97,unknown,no
married,yes,yes,383,unknown,no
married,yes,no,440,unknown,no
married,yes,no,23,unknown,no
married,no,no,195,unknown,no
single,yes,no,1297,unknown,yes
married,yes,no,87,unknown,no
married,yes,no,427,unknown,no
single,yes,yes,189,unknown,no
married,no,no,195,unknown,no
married,no,no,179,unknown,no
married,yes,yes,179,unknown,no
married,no,no,69,unknown,no
married,yes,no,105,unknown,no
married,yes,no,266,unknown,no
married,yes,no,524,unknown,no
divorced,yes,yes,96,unknown,no
divorced,yes,no,155,unknown,no
divorced,yes,no,162,unknown,no
married,yes,no,352,unknown,no
married,yes,no,76,unknown,no
married,yes,no,154,unknown,no
married,yes,no,310,unknown,no
married,yes,no,390,unknown,no
single,yes,no,369,unknown,no
married,yes,yes,112,unknown,no
single,yes,no,341,unknown,no
married,yes,no,79,unknown,no
divorced,yes,no,140,unknown,no
married,no,yes,315,unknown,no
divorced,yes,no,262,unknown,no
divorced,no,no,174,unknown,no
married,yes,no,138,unknown,no
married,no,no,526,unknown,no
married,no,no,135,unknown,no
married,yes,no,36,unknown,no
married,yes,no,1906,unknown,no
married,yes,no,219,unknown,no
single,yes,no,147,unknown,no
married,yes,yes,407,unknown,no
married,yes,yes,121,unknown,no
married,yes,yes,209,unknown,no
married,no,no,92,unknown,no
married,yes,yes,208,unknown,no
married,yes,no,193,unknown,no
married,yes,yes,144,unknown,no
single,yes,no,65,unknown,no
divorced,yes,no,339,unknown,no
married,yes,no,285,unknown,no
married,yes,no,231,unknown,no
married,yes,no,168,unknown,no
married,yes,no,278,unknown,no
single,yes,yes,389,unknown,no
married,yes,no,158,unknown,no
married,yes,no,145,unknown,no
single,yes,no,78,unknown,no
married,no,no,142,unknown,no
divorced,yes,yes,87,unknown,no
married,yes,no,147,unknown,no
married,yes,no,289,unknown,no
married,yes,no,703,unknown,yes
single,yes,no,170,unknown,no
married,yes,no,802,unknown,no
divorced,yes,no,381,unknown,no
single,yes,no,218,unknown,no
married,yes,yes,57,unknown,no
divorced,yes,no,304,unknown,no
single,yes,no,241,unknown,no
married,yes,no,230,unknown,no
married,no,no,262,unknown,no
married,yes,yes,392,unknown,no
married,no,no,201,unknown,no
divorced,yes,no,145,unknown,no
divorced,yes,no,252,unknown,no
divorced,yes,no,235,unknown,no
married,yes,yes,235,unknown,no
single,yes,no,328,unknown,no
married,yes,no,116,unknown,no
single,yes,no,246,unknown,no
single,yes,no,293,unknown,no
married,yes,no,37,unknown,no
married,yes,no,132,unknown,no
married,yes,yes,530,unknown,no
single,yes,no,175,unknown,no
married,yes,no,524,unknown,no
married,yes,yes,29,unknown,no
single,yes,no,311,unknown,no
single,yes,no,211,unknown,no
divorced,yes,no,312,unknown,no
married,yes,no,412,unknown,no
single,yes,no,392,unknown,no
married,yes,no,191,unknown,no
married,no,no,284,unknown,no
married,yes,yes,144,unknown,no
married,yes,no,328,unknown,no
married,yes,no,100,unknown,no
married,yes,no,226,unknown,no
married,yes,no,507,unknown,no
single,yes,no,392,unknown,no
married,yes,no,684,unknown,no
married,yes,no,333,unknown,no
married,yes,no,311,unknown,no
single,yes,no,128,unknown,no
single,yes,no,322,unknown,no
married,yes,no,202,unknown,no
divorced,yes,no,92,unknown,no
married,yes,no,739,unknown,no
single,yes,no,273,unknown,no
married,yes,no,260,unknown,no
married,yes,no,268,unknown,no
single,yes,no,396,unknown,no
married,yes,no,262,unknown,no
married,yes,yes,308,unknown,no
married,yes,no,467,unknown,no
single,yes,no,320,unknown,no
married,yes,no,160,unknown,no
married,yes,no,245,unknown,no
divorced,yes,no,189,unknown,no
married,yes,yes,477,unknown,no
married,yes,no,310,unknown,no
married,yes,no,65,unknown,no
married,yes,no,196,unknown,no
single,yes,no,221,unknown,no
married,yes,yes,197,unknown,no
married,yes,no,221,unknown,no
married,yes,no,64,unknown,no
single,yes,no,75,unknown,no
married,yes,no,400,unknown,no
married,yes,no,378,unknown,no
married,yes,no,118,unknown,no
married,yes,yes,1597,unknown,yes
married,yes,no,346,unknown,no
married,yes,no,60,unknown,no
married,yes,no,276,unknown,no
single,yes,no,152,unknown,no
married,yes,no,251,unknown,no
single,yes,yes,390,unknown,no
married,yes,no,306,unknown,no
married,no,no,189,unknown,no
divorced,yes,no,125,unknown,no
single,yes,no,234,unknown,no
divorced,no,no,79,unknown,no
single,yes,no,13,unknown,no
single,yes,yes,283,unknown,no
married,yes,no,109,unknown,no
married,yes,no,132,unknown,no
married,yes,yes,144,unknown,no
divorced,yes,no,121,unknown,no
married,yes,no,95,unknown,no
divorced,yes,no,31,unknown,no
single,yes,no,112,unknown,no
divorced,yes,no,87,unknown,no
married,yes,no,593,unknown,no
married,yes,no,99,unknown,no
divorced,yes,no,198,unknown,no
married,yes,no,285,unknown,no
divorced,yes,no,190,unknown,no
married,yes,no,172,unknown,no
married,yes,no,213,unknown,no
single,yes,no,178,unknown,no
married,yes,no,174,unknown,no
married,yes,no,631,unknown,no
divorced,yes,no,176,unknown,no
married,yes,no,32,unknown,no
married,yes,no,1529,unknown,no
divorced,yes,no,254,unknown,no
married,yes,no,200,unknown,no
married,yes,no,135,unknown,no
married,yes,no,112,unknown,no
married,yes,no,314,unknown,no
married,yes,no,597,unknown,no
single,yes,yes,207,unknown,no
married,yes,no,410,unknown,no
married,no,no,160,unknown,no
married,yes,no,42,unknown,no
single,yes,no,55,unknown,no
married,yes,no,155,unknown,no
married,yes,no,336,unknown,no
married,yes,no,233,unknown,no
married,yes,no,211,unknown,no
married,yes,no,88,unknown,no
married,yes,no,208,unknown,no
married,no,no,305,unknown,no
married,yes,no,206,unknown,no
single,yes,no,128,unknown,no
married,yes,no,122,unknown,no
single,yes,no,66,unknown,no
married,yes,no,66,unknown,no
married,yes,no,164,unknown,no
married,no,no,343,unknown,no
single,yes,yes,126,unknown,no
married,yes,no,59,unknown,no
married,yes,no,249,unknown,no
divorced,yes,no,406,unknown,no
married,yes,yes,250,unknown,no
married,yes,no,183,unknown,no
divorced,no,no,190,unknown,no
married,yes,no,220,unknown,no
married,yes,no,153,unknown,no
single,no,no,95,unknown,no
married,yes,yes,191,unknown,no
divorced,yes,no,216,unknown,no
divorced,yes,no,89,unknown,no
married,no,no,51,unknown,no
single,yes,no,169,unknown,no
married,yes,no,148,unknown,no
married,yes,no,132,unknown,no
married,yes,no,117,unknown,no
single,yes,no,275,unknown,no
married,yes,no,124,unknown,no
single,yes,no,118,unknown,no
married,yes,no,479,unknown,no
married,yes,no,285,unknown,no
married,yes,no,35,unknown,no
married,yes,no,322,unknown,no
married,yes,no,202,unknown,no
married,no,no,172,unknown,no
married,yes,no,201,unknown,no
divorced,yes,no,216,unknown,no
single,yes,no,195,unknown,no
married,yes,no,96,unknown,no
divorced,yes,no,720,unknown,no
divorced,yes,yes,188,unknown,no
married,no,no,70,unknown,no
single,yes,no,141,unknown,no
married,yes,no,106,unknown,no
single,yes,no,395,unknown,no
married,yes,no,629,unknown,no
married,yes,no,502,unknown,no
single,yes,no,446,unknown,no
married,yes,no,241,unknown,no
married,yes,no,131,unknown,no
married,yes,no,312,unknown,no
married,yes,no,275,unknown,no
divorced,yes,yes,120,unknown,no
married,yes,no,333,unknown,no
married,no,no,113,unknown,no
divorced,yes,no,91,unknown,no
married,yes,no,128,unknown,no
single,yes,no,200,unknown,no
married,no,no,326,unknown,no
married,yes,no,292,unknown,no
married,yes,no,68,unknown,no
married,yes,no,215,unknown,no
single,yes,no,97,unknown,no
married,no,no,32,unknown,no
married,yes,no,162,unknown,no
divorced,yes,no,152,unknown,no
married,yes,no,268,unknown,no
single,yes,no,104,unknown,no
married,no,no,852,unknown,no
married,yes,no,923,unknown,no
single,yes,no,159,unknown,no
divorced,yes,no,953,unknown,no
single,no,no,416,unknown,no
single,yes,no,174,unknown,no
divorced,yes,yes,180,unknown,no
married,yes,no,139,unknown,no
married,yes,no,294,unknown,no
single,yes,no,102,unknown,no
married,yes,no,124,unknown,no
divorced,yes,yes,128,unknown,no
single,yes,no,130,unknown,no
married,yes,yes,143,unknown,no
married,yes,no,74,unknown,no
single,yes,no,105,unknown,no
divorced,yes,no,477,unknown,no
single,yes,no,158,unknown,no
married,yes,no,250,unknown,no
married,yes,no,168,unknown,no
single,yes,no,520,unknown,no
divorced,yes,no,171,unknown,no
single,yes,no,113,unknown,no
married,yes,no,254,unknown,no
single,yes,no,149,unknown,no
divorced,yes,no,133,unknown,no
married,yes,no,293,unknown,no
single,yes,no,485,unknown,no
single,yes,no,374,unknown,no
married,yes,no,425,unknown,no
single,yes,no,207,unknown,no
married,yes,no,83,unknown,no
married,yes,no,228,unknown,no
married,yes,no,149,unknown,no
married,yes,no,139,unknown,no
single,yes,yes,732,unknown,yes
single,yes,no,142,unknown,no
single,yes,no,359,unknown,no
married,yes,yes,112,unknown,no
married,yes,no,1521,unknown,no
divorced,yes,no,216,unknown,no
single,yes,no,161,unknown,no
married,yes,no,122,unknown,no
married,yes,no,800,unknown,no
married,yes,no,615,unknown,no
divorced,yes,yes,254,unknown,no
married,no,no,111,unknown,no
divorced,yes,no,354,unknown,no
married,yes,no,359,unknown,no
single,yes,no,97,unknown,no
married,yes,no,327,unknown,no
married,yes,no,236,unknown,no
married,yes,no,160,unknown,no
single,yes,no,180,unknown,no
single,yes,no,184,unknown,no
married,no,no,227,unknown,no
divorced,yes,no,109,unknown,no
single,yes,no,492,unknown,no
married,yes,no,298,unknown,no
single,yes,no,83,unknown,no
divorced,no,no,241,unknown,no
divorced,yes,no,204,unknown,no
single,yes,no,131,unknown,no
married,yes,no,1138,unknown,yes
married,yes,no,123,unknown,no
married,yes,no,125,unknown,no
married,yes,no,295,unknown,no
married,yes,no,287,unknown,no
married,yes,yes,109,unknown,no
married,yes,no,140,unknown,no
single,yes,no,204,unknown,no
married,yes,no,233,unknown,no
married,yes,no,254,unknown,no
married,yes,no,184,unknown,no
married,yes,no,193,unknown,no
divorced,no,yes,126,unknown,no
single,yes,no,230,unknown,no
divorced,yes,yes,591,unknown,yes
married,yes,yes,294,unknown,no
married,yes,no,173,unknown,no
married,yes,yes,336,unknown,no
married,yes,yes,19,unknown,no
married,yes,no,153,unknown,no
single,yes,no,786,unknown,yes
married,yes,no,99,unknown,no
married,yes,no,243,unknown,no
single,yes,no,260,unknown,no
married,yes,yes,164,unknown,no
married,yes,yes,255,unknown,no
married,yes,no,47,unknown,no
married,yes,no,463,unknown,no
married,yes,no,192,unknown,no
single,yes,no,388,unknown,no
married,yes,no,221,unknown,no
married,no,no,126,unknown,no
